[489.0, 18.0]	[468.0, 30.0]	[484.5, 24.0]	[496.5, 21.0]	[508.5, 19.5]	[520.5, 19.5]	[532.5, 22.5]	[544.5, 28.5]	[544.5, 25.5]	[528.0, 18.0]	[508.5, 15.0]	[496.5, 16.5]	[484.5, 19.5]	[472.5, 27.0]	[460.5, 33.0]	[448.5, 36.0]	[444.0, 45.0]	[439.5, 51.0]	[414.0, 63.0]	[397.5, 75.0]	[393.0, 87.0]	[393.0, 99.0]	[382.5, 111.0]																																																																												
[909.0, 922.5]	[910.5, 934.5]	[912.0, 946.5]	[913.5, 958.5]	[916.5, 970.5]	[921.0, 984.0]	[940.5, 990.0]	[952.5, 990.0]	[964.5, 984.0]																																																																																										
[939.0, 919.5]	[927.0, 919.5]	[925.5, 915.0]	[937.5, 915.0]																																																																																															
[972.0, 894.0]	[972.0, 897.0]	[979.5, 898.5]																																																																																																
[979.5, 862.5]	[967.5, 858.0]	[955.5, 853.5]	[943.5, 849.0]	[931.5, 844.5]	[919.5, 840.0]	[907.5, 835.5]	[895.5, 831.0]	[883.5, 826.5]	[871.5, 822.0]	[859.5, 817.5]	[847.5, 813.0]	[835.5, 808.5]	[823.5, 804.0]	[811.5, 799.5]	[799.5, 796.5]	[787.5, 790.5]	[775.5, 786.0]	[763.5, 787.5]																																																																																
[780.0, 789.0]	[813.0, 801.0]	[844.5, 813.0]	[876.0, 825.0]	[907.5, 837.0]																																																																																														
[937.5, 847.5]	[970.5, 859.5]																																																																																																	
[993.0, 861.0]	[1005.0, 862.5]	[1017.0, 867.0]	[1006.5, 867.0]	[994.5, 862.5]	[999.0, 861.0]	[1017.0, 880.5]	[1018.5, 892.5]	[1009.5, 900.0]	[1014.0, 904.5]	[1014.0, 900.0]																																																																																								
[1018.5, 882.0]	[999.0, 865.5]																																																																																																	
[1003.5, 834.0]	[982.5, 829.5]																																																																																																	
[1011.0, 835.5]	[999.0, 831.0]	[987.0, 825.0]	[967.5, 823.5]	[949.5, 808.5]	[940.5, 814.5]	[936.0, 813.0]	[943.5, 805.5]	[937.5, 805.5]	[936.0, 793.5]	[933.0, 781.5]	[931.5, 769.5]	[930.0, 757.5]	[928.5, 745.5]	[924.0, 733.5]																																																																																				
[921.0, 721.5]	[921.0, 721.5]	[924.0, 733.5]	[924.0, 745.5]	[927.0, 757.5]																																																																																														
[948.0, 751.5]	[945.0, 739.5]	[945.0, 738.0]	[949.5, 739.5]	[951.0, 751.5]	[952.5, 763.5]	[954.0, 775.5]	[955.5, 787.5]	[958.5, 799.5]	[960.0, 811.5]	[958.5, 823.5]	[966.0, 826.5]																																																																																							
[1012.5, 826.5]	[1009.5, 814.5]	[1008.0, 802.5]																																																																																																
[1020.0, 784.5]	[1020.0, 772.5]																																																																																																	
[1002.0, 774.0]	[999.0, 762.0]	[1003.5, 762.0]																																																																																																
